# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
582,-32202.94232,21.50046828,0,0,0.01,1.116998669e-06,0.131750318
583,-32202.94241,21.50055312,0,0,0.01,1.114146571e-06,0.1366379541
570,-32202.96573,21.52387515,0,0,0.013,2.707336579e-06,1.474908158e-48
559,-32202.96576,21.52390315,0,0,0.013,2.707174033e-06,2.635454868e-48
571,-32202.96585,21.52399256,0,0,0.013,2.707046327e-06,1.150888098e-48
572,-32202.96593,21.52407959,0,0,0.013,2.706821233e-06,9.363828519e-49
299,-32202.98793,21.54607353,0,0,0.005,4.692184269e-07,0.001225682867
177,-32202.99548,21.55362718,0,0,0.011,1.440865273e-05,0.0106329745
180,-32202.99547,21.55362062,0,0,0.011,1.434844397e-05,0.00874691629
178,-32202.99551,21.55365291,0,0,0.011,1.434769125e-05,0.008747024779
181,-32202.99553,21.55367336,0,0,0.011,1.434778091e-05,0.008747562282
179,-32202.99553,21.55367439,0,0,0.011,1.434735569e-05,0.008747437121
513,-32203.11013,21.66827305,0,0.002,0.038,1.261529126e-05,0.001244122408
512,-32203.11003,21.66817987,0,0.002,0.038,1.261786415e-05,0.002450164057
415,-32203.12481,21.68295861,0,0,0.004,2.07209317e-07,0.1450742428
414,-32203.12489,21.68303599,0,0,0.004,2.071984043e-07,0.1450786193
495,-32203.12893,21.68707323,0,0,0.016,1.812470364e-06,0.001163361484
494,-32203.12893,21.68707325,0,0,0.016,1.812470341e-06,0.00116336147
493,-32203.13242,21.6905657,0,0,0.016,1.808247683e-06,0.001172843183
496,-32203.13653,21.69467942,0,0,0.016,1.800970216e-06,0.00116583334
497,-32203.13653,21.69467964,0,0,0.016,1.800969928e-06,0.001165834337
498,-32203.13655,21.69470153,0,0,0.016,1.80093185e-06,0.00116581018
503,-32203.18947,21.74761823,0,0,0.013,1.987423365e-06,0.09134660124
504,-32203.18954,21.74768398,0,0,0.013,1.987293176e-06,0.09138156897
505,-32203.18959,21.74774142,0,0,0.013,1.987179464e-06,0.09141212902
506,-32203.18965,21.74779913,0,0,0.013,1.987067081e-06,0.09144285704
445,-32203.21048,21.76862466,0,0.003,0.034,2.140833049e-05,0.01673561513
597,-32203.26273,21.82088193,0,0.001,0.014,3.240571738e-06,0.007596575576
626,-32203.32783,21.88597411,0,0,0.006,9.579363357e-07,1.615155852e-81
401,-32203.41332,21.97146443,0,0,0.007,4.290185364e-07,0.1418529426
